// wyst.syntaxWords.v0.9
// spelling	classification	owner	legal_positions	state
as	reserved	core.imports|core.linkage-boundaries	import-alias|linkage-alias	implemented
bitstruct	reserved	core.bitstruct|core.generic-bounds	declaration|generic-bound	implemented
register_map	contextual	core.hardware-registers	declaration	implemented
system_register	contextual	core.hardware-registers	declaration	implemented
device	reserved	future.hardware-device-model	future-declaration	reserved
break	reserved	core.control-flow	statement	implemented
const	reserved	core.bindings	declaration|statement	implemented
continue	reserved	core.control-flow	statement	implemented
else	reserved	core.control-flow	if-branch|match-arm	implemented
enum	reserved	core.declarations	declaration	implemented
export	reserved	core.linkage-boundaries	declaration	implemented
extern	reserved	core.callable-contracts	declaration-prefix|callable-type	implemented
false	reserved	core.literals	expression	implemented
fn	reserved	core.declarations	declaration|callable-type	implemented
for	reserved	core.control-flow|core.project-manifests	statement|manifest-artifact-target-separator	implemented
goto	reserved	core.control-flow	statement	implemented
if	reserved	core.control-flow	expression|statement	implemented
import	reserved	core.modules|core.linkage-boundaries	declaration	implemented
is	reserved	core.enum-patterns	expression|if-condition	implemented
label	reserved	core.declarations	declaration	implemented
loop	reserved	core.control-flow	statement	implemented
match	reserved	core.enum-patterns	statement	implemented
module	reserved	core.modules	declaration	implemented
naked	reserved	core.callable-contracts	declaration-prefix	implemented
never	unshadowable	core.callable-contracts	return-type	implemented
noescape	contextual	core.callable-contracts	declaration-parameter-type-prefix|callable-type-parameter-type-prefix	implemented
packed	reserved	core.declarations	declaration-prefix	implemented
per_cpu	reserved	core.storage-classes|core.target-operations	declaration-prefix|target-argument-label	implemented
pub	reserved	core.visibility	declaration-prefix	implemented
return	reserved	core.control-flow	statement	implemented
schedule	reserved	core.scheduling	statement	implemented
select	reserved	core.expressions	expression	implemented
struct	reserved	core.declarations	declaration	implemented
trap_frame	reserved	core.target-structural-dsls	declaration	implemented
true	reserved	core.literals	expression	implemented
var	reserved	core.bindings	declaration|statement	implemented
vector_table	reserved	core.target-structural-dsls	declaration	implemented
while	reserved	core.control-flow	statement	implemented
widen	unshadowable	core.conversions	expression-callee	implemented
truncate	unshadowable	core.conversions	expression-callee	implemented
signcast	unshadowable	core.conversions	expression-callee	implemented
numeric	unshadowable	core.conversions|core.generic-bounds	expression-callee|generic-bound	implemented
bitcast	unshadowable	core.conversions	expression-callee	implemented
address	unshadowable	core.conversions|core.generic-bounds	expression-callee|generic-bound	implemented
start	unshadowable	core.layout	layout-symbol-expression-callee	implemented
end	unshadowable	core.layout	layout-symbol-expression-callee	implemented
relens	unshadowable	core.conversions	expression-callee	implemented
qualify	unshadowable	core.conversions	expression-callee	implemented
floatcast	unshadowable	core.conversions	expression-callee	implemented
saturate	unshadowable	core.conversions	expression-callee	implemented
truncate_bits	unshadowable	core.conversions	expression-callee	implemented
checked	unshadowable	future.checked-conversion	reserved-expression-callee	reserved
integer	contextual	core.generic-bounds	generic-bound	implemented
unsigned_integer	contextual	core.generic-bounds	generic-bound	implemented
signed_integer	contextual	core.generic-bounds	generic-bound	implemented
float	contextual	core.generic-bounds	generic-bound	implemented
scalar	contextual	core.generic-bounds	generic-bound	implemented
payload_word	contextual	core.generic-bounds	generic-bound	implemented
mmio	contextual	core.address-types|core.machine-semantics|core.hardware-registers	declaration|address-qualifier|effect-signature-atom	implemented
volatile	contextual	core.address-types	address-qualifier	implemented
at	contextual	core.layout|core.bitstruct|core.hardware-registers	layout-entry-address-marker|layout-region-address-marker|bitstruct-field-location|hardware-register-offset|hardware-placement|system-register-encoding	implemented
readonly	contextual	core.layout|core.hardware-registers	layout-region-access|hardware-access-mode|hardware-field-access-mode	implemented
writeonly	contextual	core.hardware-registers	hardware-access-mode|hardware-field-access-mode	implemented
readwrite	contextual	core.layout|core.hardware-registers	layout-region-access|hardware-access-mode|hardware-field-access-mode	implemented
reserved	contextual	core.hardware-registers	hardware-reserved-region	implemented
reset	contextual	core.hardware-registers	hardware-field-policy	implemented
read_clears	contextual	core.hardware-registers	hardware-field-policy	implemented
read_sets	contextual	core.hardware-registers	hardware-field-policy	implemented
write_ignored	contextual	core.hardware-registers	hardware-field-policy	implemented
write_one_clears	contextual	core.hardware-registers	hardware-field-policy	implemented
write_one_sets	contextual	core.hardware-registers	hardware-field-policy	implemented
write_one_toggles	contextual	core.hardware-registers	hardware-field-policy	implemented
write_zero_clears	contextual	core.hardware-registers	hardware-field-policy	implemented
write_zero_sets	contextual	core.hardware-registers	hardware-field-policy	implemented
write_zero_toggles	contextual	core.hardware-registers	hardware-field-policy	implemented
one	contextual	core.hardware-registers	hardware-reserved-policy	implemented
preserve	contextual	core.hardware-registers	hardware-reserved-policy	implemented
