encoding_id	authority_id	semantic_id	canonical_mnemonic	exact_code_family	mask	value	features	surfaces	support_packs	variable_fields	constraint_program	operand_decode_program	canonical_render_style	fixup_program	semantic_operands	fixed_roles	overlap_restrictions	authority_predicate_digest
a64:encoding:add-32-addsub-imm:3ab0bb991b202807	a64:instruction_form:add-32-addsub-imm:3ab0bb991b202807	a64:semantic:instruction_form:add-32-addsub-imm:3ab0bb991b202807	add	arithmetic	0xff800000	0x11000000	base	ordinary_lowering|architecture_operation	wyst.a64.architecture-operations|wyst.a64.ordinary-lowering	Rd@0:5:0x1f:0x0|Rn@5:5:0x1f:0x0|imm12@10:12:0xfff:0x0|sh@22:1:0x1:0x0	none	gpr:rd:32:0+5:sp:none|gpr:rn:32:5+5:sp:none|addsub_imm:imm:10+12:22+1	plain	none	rd:gpr32|rn:gpr32|imm:encoded_immediate	none	none	sha256:3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f
a64:encoding:add-32-addsub-shift:40aabbcac383e4f5	a64:instruction_form:add-32-addsub-shift:40aabbcac383e4f5	a64:semantic:instruction_form:add-32-addsub-shift:40aabbcac383e4f5	add	arithmetic	0xff200000	0x0b000000	base	ordinary_lowering|architecture_operation	wyst.a64.architecture-operations|wyst.a64.ordinary-lowering	Rd@0:5:0x1f:0x0|Rn@5:5:0x1f:0x0|imm6@10:6:0x3f:0x0|Rm@16:5:0x1f:0x0|shift@22:2:0x3:0x0	none	gpr:rd:32:0+5:zr:none|gpr:rn:32:5+5:zr:none|gpr:rm:32:16+5:zr:none|enum:shift:22+2:0=lsl,1=lsr,2=asr|uimm:amount:10+6:1	shift_pair	none	rd:gpr32|rn:gpr32|rm:gpr32|shift:u2|amount:u6	none	none	sha256:3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f
a64:encoding:add-64-addsub-imm:f9088474ba5a7702	a64:instruction_form:add-64-addsub-imm:f9088474ba5a7702	a64:semantic:instruction_form:add-64-addsub-imm:f9088474ba5a7702	add	arithmetic	0xff800000	0x91000000	base	ordinary_lowering|checked_asm|architecture_operation	wyst.a64.architecture-operations|wyst.a64.ordinary-lowering|wyst.a64.target-structural-asm.aarch64	Rd@0:5:0x1f:0x0|Rn@5:5:0x1f:0x0|imm12@10:12:0xfff:0x0|sh@22:1:0x1:0x0	none	gpr:rd:64:0+5:sp:none|gpr:rn:64:5+5:sp:none|addsub_imm:imm:10+12:22+1	plain	none	rd:gpr64|rn:gpr64|imm:encoded_immediate	none	none	sha256:3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f
a64:encoding:add-64-addsub-shift:6f409def0d1e43f6	a64:instruction_form:add-64-addsub-shift:6f409def0d1e43f6	a64:semantic:instruction_form:add-64-addsub-shift:6f409def0d1e43f6	add	arithmetic	0xff200000	0x8b000000	base	ordinary_lowering|architecture_operation	wyst.a64.architecture-operations|wyst.a64.ordinary-lowering	Rd@0:5:0x1f:0x0|Rn@5:5:0x1f:0x0|imm6@10:6:0x3f:0x0|Rm@16:5:0x1f:0x0|shift@22:2:0x3:0x0	none	gpr:rd:64:0+5:zr:none|gpr:rn:64:5+5:zr:none|gpr:rm:64:16+5:zr:none|enum:shift:22+2:0=lsl,1=lsr,2=asr|uimm:amount:10+6:1	shift_pair	none	rd:gpr64|rn:gpr64|rm:gpr64|shift:u2|amount:u6	none	none	sha256:3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f
a64:encoding:add-asimdsame-only:1a2c005b014d566c	a64:instruction_form:add-asimdsame-only:1a2c005b014d566c	a64:semantic:instruction_form:add-asimdsame-only:1a2c005b014d566c	add	other	0xbf20fc00	0x0e208400	FEAT_AdvSIMD	ordinary_lowering|architecture_operation	wyst.a64.architecture-operations|wyst.a64.ordinary-lowering	Rd@0:5:0x1f:0x0|Rn@5:5:0x1f:0x0|Rm@16:5:0x1f:0x0|size@22:2:0x3:0x0|Q@30:1:0x1:0x0	none	simd:vd:0+5:22+2,30+1:0=8b,1=16b,2=4h,3=8h,4=2s,5=4s,7=2d|simd:vn:5+5:22+2,30+1:0=8b,1=16b,2=4h,3=8h,4=2s,5=4s,7=2d|simd:vm:16+5:22+2,30+1:0=8b,1=16b,2=4h,3=8h,4=2s,5=4s,7=2d	plain	none	vd:simd|vn:simd|vm:simd	none	none	sha256:bf98b8bcb1ce7073600e82489c120a3ffd1f3310f5e22a2705d8331c1d255755
a64:encoding:adds-32s-addsub-imm:b8d21fb60de5d4ac	a64:instruction_form:adds-32s-addsub-imm:b8d21fb60de5d4ac	a64:semantic:instruction_form:adds-32s-addsub-imm:b8d21fb60de5d4ac	adds	compare	0xff800000	0x31000000	base	ordinary_lowering|architecture_operation	wyst.a64.architecture-operations|wyst.a64.ordinary-lowering	Rd@0:5:0x1f:0x0|Rn@5:5:0x1f:0x0|imm12@10:12:0xfff:0x0|sh@22:1:0x1:0x0	none	gpr:rd:32:0+5:zr:none|gpr:rn:32:5+5:sp:none|addsub_imm:imm:10+12:22+1	plain	none	rd:gpr32|rn:gpr32|imm:encoded_immediate	none	none	sha256:3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f
a64:encoding:adds-64s-addsub-imm:343cffe26193cab3	a64:instruction_form:adds-64s-addsub-imm:343cffe26193cab3	a64:semantic:instruction_form:adds-64s-addsub-imm:343cffe26193cab3	adds	compare	0xff800000	0xb1000000	base	ordinary_lowering|architecture_operation	wyst.a64.architecture-operations|wyst.a64.ordinary-lowering	Rd@0:5:0x1f:0x0|Rn@5:5:0x1f:0x0|imm12@10:12:0xfff:0x0|sh@22:1:0x1:0x0	none	gpr:rd:64:0+5:zr:none|gpr:rn:64:5+5:sp:none|addsub_imm:imm:10+12:22+1	plain	none	rd:gpr64|rn:gpr64|imm:encoded_immediate	none	none	sha256:3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f
a64:encoding:adrp-only-pcreladdr:3804d7b0234500a2	a64:instruction_form:adrp-only-pcreladdr:3804d7b0234500a2	a64:semantic:instruction_form:adrp-only-pcreladdr:3804d7b0234500a2	adrp	adr	0x9f000000	0x90000000	base	ordinary_lowering|checked_asm|architecture_operation	wyst.a64.architecture-operations|wyst.a64.checked-asm.core|wyst.a64.ordinary-lowering	Rd@0:5:0x1f:0x0|immhi@5:19:0x7ffff:0x0|immlo@29:2:0x3:0x0	none	gpr:rd:64:0+5:zr:none|fixup:target:page21	plain	page21:21:4096:page:immlo@29+2=0,immhi@5+19=2:local,external:no_relaxation	rd:xN|target:page21	rd=xt_or_xzr;rd31=discarded_write_to_xzr;encoding=page21	none	sha256:3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f
a64:encoding:and-32-log-imm:fd2f433fd0223701	a64:instruction_form:and-32-log-imm:fd2f433fd0223701	a64:semantic:instruction_form:and-32-log-imm:fd2f433fd0223701	and	logical	0xffc00000	0x12000000	base	ordinary_lowering|architecture_operation	wyst.a64.architecture-operations|wyst.a64.ordinary-lowering	Rd@0:5:0x1f:0x0|Rn@5:5:0x1f:0x0|imms@10:6:0x3f:0x0|immr@16:6:0x3f:0x0	none	gpr:rd:32:0+5:sp:none|gpr:rn:32:5+5:zr:none|logical_imm:imm:32:22+1:16+6:10+6	plain	none	rd:gpr32|rn:gpr32|imm:encoded_immediate	none	none	sha256:3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f
a64:encoding:and-32-log-shift:44b2e69bd35e6aa5	a64:instruction_form:and-32-log-shift:44b2e69bd35e6aa5	a64:semantic:instruction_form:and-32-log-shift:44b2e69bd35e6aa5	and	logical	0xff200000	0x0a000000	base	ordinary_lowering|architecture_operation	wyst.a64.architecture-operations|wyst.a64.ordinary-lowering	Rd@0:5:0x1f:0x0|Rn@5:5:0x1f:0x0|imm6@10:6:0x3f:0x0|Rm@16:5:0x1f:0x0|shift@22:2:0x3:0x0	none	gpr:rd:32:0+5:zr:none|gpr:rn:32:5+5:zr:none|gpr:rm:32:16+5:zr:none|enum:shift:22+2:0=lsl,1=lsr,2=asr,3=ror|uimm:amount:10+6:1	shift_pair	none	rd:gpr32|rn:gpr32|rm:gpr32|shift:u2|amount:u6	none	none	sha256:3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f
