source_form_id	canonical_instruction_id	encoding_id	authority_id	semantic_id	mnemonic	canonical_mnemonic	semantic_operands	operand_grammar	operand_access	mask	value	features	alias_of	fixup
a64:source_form:add-64-addsub-imm:f9088474ba5a7702	a64:canonical_instruction:add-64-addsub-imm:f9088474ba5a7702	a64:encoding:add-64-addsub-imm:f9088474ba5a7702	a64:instruction_form:add-64-addsub-imm:f9088474ba5a7702	a64:semantic:instruction_form:add-64-addsub-imm:f9088474ba5a7702	add	add	rd:gpr64|rn:gpr64|imm:encoded_immediate	gpr_sp:64@0,gpr_sp:64@5,addsub_imm:12@10:1@22	write|read|read	0xff800000	0x91000000	base	none	none
a64:source_form:adrp-only-pcreladdr:3804d7b0234500a2	a64:canonical_instruction:adrp-only-pcreladdr:3804d7b0234500a2	a64:encoding:adrp-only-pcreladdr:3804d7b0234500a2	a64:instruction_form:adrp-only-pcreladdr:3804d7b0234500a2	a64:semantic:instruction_form:adrp-only-pcreladdr:3804d7b0234500a2	adrp	adrp	rd:xN|target:page21	gpr:64@0,target:page21	write|target	0x9f000000	0x90000000	base	none	page21
a64:source_form:b-only-branch-imm:474f71088223424a	a64:canonical_instruction:b-only-branch-imm:474f71088223424a	a64:encoding:b-only-branch-imm:474f71088223424a	a64:instruction_form:b-only-branch-imm:474f71088223424a	a64:semantic:instruction_form:b-only-branch-imm:474f71088223424a	b	b	target:branch26	target:branch26	target	0xfc000000	0x14000000	base	none	branch26
a64:source_form:bl-only-branch-imm:ea6420b3e0abfdfa	a64:canonical_instruction:bl-only-branch-imm:ea6420b3e0abfdfa	a64:encoding:bl-only-branch-imm:ea6420b3e0abfdfa	a64:instruction_form:bl-only-branch-imm:ea6420b3e0abfdfa	a64:semantic:instruction_form:bl-only-branch-imm:ea6420b3e0abfdfa	bl	bl	target:call26	target:call26	target	0xfc000000	0x94000000	base	none	call26
a64:source_form:eret-64e-branch-reg:43e53b44e570f013	a64:canonical_instruction:eret-64e-branch-reg:43e53b44e570f013	a64:encoding:eret-64e-branch-reg:43e53b44e570f013	a64:instruction_form:eret-64e-branch-reg:43e53b44e570f013	a64:semantic:instruction_form:eret-64e-branch-reg:43e53b44e570f013	eret	eret	none	none	none	0xffffffff	0xd69f03e0	base	none	none
a64:source_form:ldp-64-ldstpair-off:99d67b295cd1ef95	a64:canonical_instruction:ldp-64-ldstpair-off:99d67b295cd1ef95	a64:encoding:ldp-64-ldstpair-off:99d67b295cd1ef95	a64:instruction_form:ldp-64-ldstpair-off:99d67b295cd1ef95	a64:semantic:instruction_form:ldp-64-ldstpair-off:99d67b295cd1ef95	ldp	ldp	rt:xN|rt2:xN|rn:address|offset:signed_scaled7	gpr:64@0,gpr:64@10,address:64@5,simm:7@15:8	write|write|read|read	0xffc00000	0xa9400000	base	none	none
a64:source_form:ldr-64-ldst-pos:4df4b55f398640ec	a64:canonical_instruction:ldr-64-ldst-pos:4df4b55f398640ec	a64:encoding:ldr-64-ldst-pos:4df4b55f398640ec	a64:instruction_form:ldr-64-ldst-pos:4df4b55f398640ec	a64:semantic:instruction_form:ldr-64-ldst-pos:4df4b55f398640ec	ldr	ldr	rt:xN|rn:address|offset:scaled_unsigned12	gpr:64@0,address:64@5,scaled_imm:12@10:8	write|read|read	0xffc00000	0xf9400000	base	none	none
a64:source_form:mov:2ff230e63232119f	a64:canonical_instruction:add-64-addsub-imm:f9088474ba5a7702	a64:encoding:add-64-addsub-imm:f9088474ba5a7702	a64:instruction_alias:mov:2ff230e63232119f	a64:semantic:instruction_form:add-64-addsub-imm:f9088474ba5a7702	mov	add	rd:gpr64|rn:gpr64|imm:encoded_immediate	gpr_sp:64@0,gpr_sp:64@5	write|read	0xff800000	0x91000000	base	a64:source_form:add-64-addsub-imm:f9088474ba5a7702	none
a64:source_form:mrs-rs-systemmove:fdea91bb8b1da9f3	a64:canonical_instruction:mrs-rs-systemmove:fdea91bb8b1da9f3	a64:encoding:mrs-rs-systemmove:fdea91bb8b1da9f3	a64:instruction_form:mrs-rs-systemmove:fdea91bb8b1da9f3	a64:semantic:instruction_form:mrs-rs-systemmove:fdea91bb8b1da9f3	mrs	mrs	rt:xt_or_xzr|sysreg:cataloged	gpr:64@0,sysreg:read@5	write|read	0xfff00000	0xd5300000	base	none	none
a64:source_form:msr-sr-systemmove:7c3955c1b3ed2abe	a64:canonical_instruction:msr-sr-systemmove:7c3955c1b3ed2abe	a64:encoding:msr-sr-systemmove:7c3955c1b3ed2abe	a64:instruction_form:msr-sr-systemmove:7c3955c1b3ed2abe	a64:semantic:instruction_form:msr-sr-systemmove:7c3955c1b3ed2abe	msr	msr	sysreg:cataloged|rt:xt_or_xzr	sysreg:write@5,gpr:64@0	write|read	0xfff00000	0xd5100000	base	none	none
a64:source_form:nop-hi-hints:6782157752e131f1	a64:canonical_instruction:nop-hi-hints:6782157752e131f1	a64:encoding:nop-hi-hints:6782157752e131f1	a64:instruction_form:nop-hi-hints:6782157752e131f1	a64:semantic:instruction_form:nop-hi-hints:6782157752e131f1	nop	nop	none	literal:0:7@5	none	0xffffffff	0xd503201f	base	none	none
a64:source_form:ret-64r-branch-reg:d499946a0544a9d8	a64:canonical_instruction:ret-64r-branch-reg:d499946a0544a9d8	a64:encoding:ret-64r-branch-reg:d499946a0544a9d8	a64:instruction_form:ret-64r-branch-reg:d499946a0544a9d8	a64:semantic:instruction_form:ret-64r-branch-reg:d499946a0544a9d8	ret	ret	rn:gpr64:default=x30	gpr:64@5!31?30	read	0xfffffc1f	0xd65f0000	base	none	none
a64:source_form:sev-hi-hints:6a5d14d59639b441	a64:canonical_instruction:sev-hi-hints:6a5d14d59639b441	a64:encoding:sev-hi-hints:6a5d14d59639b441	a64:instruction_form:sev-hi-hints:6a5d14d59639b441	a64:semantic:instruction_form:sev-hi-hints:6a5d14d59639b441	sev	sev	none	literal:4:7@5	none	0xffffffff	0xd503209f	base	none	none
a64:source_form:sevl-hi-hints:a06bda41d5fee1bc	a64:canonical_instruction:sevl-hi-hints:a06bda41d5fee1bc	a64:encoding:sevl-hi-hints:a06bda41d5fee1bc	a64:instruction_form:sevl-hi-hints:a06bda41d5fee1bc	a64:semantic:instruction_form:sevl-hi-hints:a06bda41d5fee1bc	sevl	sevl	none	literal:5:7@5	none	0xffffffff	0xd50320bf	base	none	none
a64:source_form:stp-64-ldstpair-off:ab0d9c9f204e4af6	a64:canonical_instruction:stp-64-ldstpair-off:ab0d9c9f204e4af6	a64:encoding:stp-64-ldstpair-off:ab0d9c9f204e4af6	a64:instruction_form:stp-64-ldstpair-off:ab0d9c9f204e4af6	a64:semantic:instruction_form:stp-64-ldstpair-off:ab0d9c9f204e4af6	stp	stp	rt:xN|rt2:xN|rn:address|offset:signed_scaled7	gpr:64@0,gpr:64@10,address:64@5,simm:7@15:8	read|read|read|read	0xffc00000	0xa9000000	base	none	none
a64:source_form:str-64-ldst-pos:53445743f9dbc4ca	a64:canonical_instruction:str-64-ldst-pos:53445743f9dbc4ca	a64:encoding:str-64-ldst-pos:53445743f9dbc4ca	a64:instruction_form:str-64-ldst-pos:53445743f9dbc4ca	a64:semantic:instruction_form:str-64-ldst-pos:53445743f9dbc4ca	str	str	rt:xN|rn:address|offset:scaled_unsigned12	gpr:64@0,address:64@5,scaled_imm:12@10:8	read|read|read	0xffc00000	0xf9000000	base	none	none
a64:source_form:sub-64-addsub-imm:687788e2c2cf66d1	a64:canonical_instruction:sub-64-addsub-imm:687788e2c2cf66d1	a64:encoding:sub-64-addsub-imm:687788e2c2cf66d1	a64:instruction_form:sub-64-addsub-imm:687788e2c2cf66d1	a64:semantic:instruction_form:sub-64-addsub-imm:687788e2c2cf66d1	sub	sub	rd:gpr64|rn:gpr64|imm:encoded_immediate	gpr_sp:64@0,gpr_sp:64@5,addsub_imm:12@10:1@22	write|read|read	0xff800000	0xd1000000	base	none	none
a64:source_form:tbz-only-testbranch:0998cca1334e63a5	a64:canonical_instruction:tbz-only-testbranch:0998cca1334e63a5	a64:encoding:tbz-only-testbranch:0998cca1334e63a5	a64:instruction_form:tbz-only-testbranch:0998cca1334e63a5	a64:semantic:instruction_form:tbz-only-testbranch:0998cca1334e63a5	tbz	tbz	rt:gpr32_or_64_by_bit|bit:u6|target:test_branch14	gpr_by_bit:0@31,test_bit:5@19:1@31,target:test14	read|read|target	0x7f000000	0x36000000	base	none	test14
a64:source_form:wfe-hi-hints:c35586e48025c4dc	a64:canonical_instruction:wfe-hi-hints:c35586e48025c4dc	a64:encoding:wfe-hi-hints:c35586e48025c4dc	a64:instruction_form:wfe-hi-hints:c35586e48025c4dc	a64:semantic:instruction_form:wfe-hi-hints:c35586e48025c4dc	wfe	wfe	none	literal:2:7@5	none	0xffffffff	0xd503205f	base	none	none
a64:source_form:wfi-hi-hints:6aa519ac5a938656	a64:canonical_instruction:wfi-hi-hints:6aa519ac5a938656	a64:encoding:wfi-hi-hints:6aa519ac5a938656	a64:instruction_form:wfi-hi-hints:6aa519ac5a938656	a64:semantic:instruction_form:wfi-hi-hints:6aa519ac5a938656	wfi	wfi	none	literal:3:7@5	none	0xffffffff	0xd503207f	base	none	none
a64:source_form:yield-hi-hints:423190ce3fb3a78a	a64:canonical_instruction:yield-hi-hints:423190ce3fb3a78a	a64:encoding:yield-hi-hints:423190ce3fb3a78a	a64:instruction_form:yield-hi-hints:423190ce3fb3a78a	a64:semantic:instruction_form:yield-hi-hints:423190ce3fb3a78a	yield	yield	none	literal:1:7@5	none	0xffffffff	0xd503203f	base	none	none
