semantic_id	authority_id	encoding_id	operands	explicit_reads	explicit_writes	implicit_reads	implicit_writes	ties	destructive_uses	early_clobbers	fixed_roles	overlap_restrictions	register_views	arrangements	lists_lanes	target_owned_operands	memory_kind	memory_range	memory_alignment	addressing	writeback	tag_access	gather_scatter_first_fault	atomicity	exclusives	ordering	progress	control_flow	stack_behavior	architecture	features	execution_level	security_virtualization	streaming_state	other_state_gates	effects	authority_requirements	determinism	faults	target_defined	deprecation
a64:semantic:instruction_form:add-32-addsub-imm:3ab0bb991b202807	a64:instruction_form:add-32-addsub-imm:3ab0bb991b202807	a64:encoding:add-32-addsub-imm:3ab0bb991b202807	rd:gpr32|rn:gpr32|imm:encoded_immediate	rn	rd	none	none	none	none	none	none	none	wN	none	none	none	none	0	1	none	none	none	none	none	none	none	immediate	fallthrough	preserved:delta=0	Armv8-A	base	EL0..EL3	any	any	none	none	none	deterministic	none	none	removed_if_authority_deprecates
a64:semantic:instruction_form:add-32-addsub-shift:40aabbcac383e4f5	a64:instruction_form:add-32-addsub-shift:40aabbcac383e4f5	a64:encoding:add-32-addsub-shift:40aabbcac383e4f5	rd:gpr32|rn:gpr32|rm:gpr32|shift:u2|amount:u6	rn|rm	rd	none	none	none	none	none	none	none	wN	none	none	none	none	0	1	none	none	none	none	none	none	none	immediate	fallthrough	preserved:delta=0	Armv8-A	base	EL0..EL3	any	any	none	none	none	deterministic	none	none	removed_if_authority_deprecates
a64:semantic:instruction_form:add-64-addsub-imm:f9088474ba5a7702	a64:instruction_form:add-64-addsub-imm:f9088474ba5a7702	a64:encoding:add-64-addsub-imm:f9088474ba5a7702	rd:gpr64|rn:gpr64|imm:encoded_immediate	rn	rd	none	none	none	none	none	none	none	xN	none	none	none	none	0	1	none	none	none	none	none	none	none	immediate	fallthrough	preserved:delta=0	Armv8-A	base	EL0..EL3	any	any	none	none	none	deterministic	none	none	removed_if_authority_deprecates
a64:semantic:instruction_form:add-64-addsub-shift:6f409def0d1e43f6	a64:instruction_form:add-64-addsub-shift:6f409def0d1e43f6	a64:encoding:add-64-addsub-shift:6f409def0d1e43f6	rd:gpr64|rn:gpr64|rm:gpr64|shift:u2|amount:u6	rn|rm	rd	none	none	none	none	none	none	none	xN	none	none	none	none	0	1	none	none	none	none	none	none	none	immediate	fallthrough	preserved:delta=0	Armv8-A	base	EL0..EL3	any	any	none	none	none	deterministic	none	none	removed_if_authority_deprecates
a64:semantic:instruction_form:add-asimdsame-only:1a2c005b014d566c	a64:instruction_form:add-asimdsame-only:1a2c005b014d566c	a64:encoding:add-asimdsame-only:1a2c005b014d566c	vd:simd|vn:simd|vm:simd	vn|vm	vd	fp_access_control|streaming_state	none	none	none	none	none	none	vN	formula:simd_arrangement_from_q_size	none	none	none	0	1	none	none	none	none	none	none	none	immediate	fallthrough	preserved:delta=0	Armv8-A	FEAT_AdvSIMD	EL0..EL3	any	formula:simd_streaming_gate	none	none	fp_simd_access_enabled	deterministic	architectural_fault:fp_simd_access_trap	none	removed_if_authority_deprecates
a64:semantic:instruction_form:adds-32s-addsub-imm:b8d21fb60de5d4ac	a64:instruction_form:adds-32s-addsub-imm:b8d21fb60de5d4ac	a64:encoding:adds-32s-addsub-imm:b8d21fb60de5d4ac	rd:gpr32|rn:gpr32|imm:encoded_immediate	rn	rd	none	NZCV	none	none	none	none	none	wN	none	none	none	none	0	1	none	none	none	none	none	none	none	immediate	fallthrough	preserved:delta=0	Armv8-A	base	EL0..EL3	any	any	none	none	none	deterministic	none	none	removed_if_authority_deprecates
a64:semantic:instruction_form:adds-64s-addsub-imm:343cffe26193cab3	a64:instruction_form:adds-64s-addsub-imm:343cffe26193cab3	a64:encoding:adds-64s-addsub-imm:343cffe26193cab3	rd:gpr64|rn:gpr64|imm:encoded_immediate	rn	rd	none	NZCV	none	none	none	none	none	xN	none	none	none	none	0	1	none	none	none	none	none	none	none	immediate	fallthrough	preserved:delta=0	Armv8-A	base	EL0..EL3	any	any	none	none	none	deterministic	none	none	removed_if_authority_deprecates
a64:semantic:instruction_form:adrp-only-pcreladdr:3804d7b0234500a2	a64:instruction_form:adrp-only-pcreladdr:3804d7b0234500a2	a64:encoding:adrp-only-pcreladdr:3804d7b0234500a2	rd:xN|target:page21	none	rd	pc	none	none	none	none	rd=xt_or_xzr;rd31=discarded_write_to_xzr;encoding=page21	none	xN|xzr	none	none	target:page21	none	0	1	none	none	none	none	none	none	none	immediate	fallthrough	preserved:delta=0	Armv8-A	base	EL0..EL3	any	any	none	none	none	deterministic	none	none	removed_if_authority_deprecates
a64:semantic:instruction_form:and-32-log-imm:fd2f433fd0223701	a64:instruction_form:and-32-log-imm:fd2f433fd0223701	a64:encoding:and-32-log-imm:fd2f433fd0223701	rd:gpr32|rn:gpr32|imm:encoded_immediate	rn	rd	none	none	none	none	none	none	none	wN	none	none	none	none	0	1	none	none	none	none	none	none	none	immediate	fallthrough	preserved:delta=0	Armv8-A	base	EL0..EL3	any	any	none	none	none	deterministic	none	none	removed_if_authority_deprecates
a64:semantic:instruction_form:and-32-log-shift:44b2e69bd35e6aa5	a64:instruction_form:and-32-log-shift:44b2e69bd35e6aa5	a64:encoding:and-32-log-shift:44b2e69bd35e6aa5	rd:gpr32|rn:gpr32|rm:gpr32|shift:u2|amount:u6	rn|rm	rd	none	none	none	none	none	none	none	wN	none	none	none	none	0	1	none	none	none	none	none	none	none	immediate	fallthrough	preserved:delta=0	Armv8-A	base	EL0..EL3	any	any	none	none	none	deterministic	none	none	removed_if_authority_deprecates
