row_id	row_kind	authority_id	encoding_id	disposition	surfaces	support_packs	source_mnemonic
a64:encoding:abs-32-dp-1src:66e12f01ab0d7f78	encoding	a64:instruction_form:abs-32-dp-1src:66e12f01ab0d7f78	a64:encoding:abs-32-dp-1src:66e12f01ab0d7f78	known_unsupported	none	none	abs
a64:encoding:abs-64-dp-1src:c8882e3f172f2d34	encoding	a64:instruction_form:abs-64-dp-1src:c8882e3f172f2d34	a64:encoding:abs-64-dp-1src:c8882e3f172f2d34	known_unsupported	none	none	abs
a64:encoding:abs-asimdmisc-r:f86aacc10c8a8ec5	encoding	a64:instruction_form:abs-asimdmisc-r:f86aacc10c8a8ec5	a64:encoding:abs-asimdmisc-r:f86aacc10c8a8ec5	known_unsupported	none	none	abs
a64:encoding:abs-asisdmisc-r:6f6924ce0b74edb7	encoding	a64:instruction_form:abs-asisdmisc-r:6f6924ce0b74edb7	a64:encoding:abs-asisdmisc-r:6f6924ce0b74edb7	known_unsupported	none	none	abs
a64:encoding:abs-z-p-z-m:198caaf5fd0a78b6	encoding	a64:instruction_form:abs-z-p-z-m:198caaf5fd0a78b6	a64:encoding:abs-z-p-z-m:198caaf5fd0a78b6	known_unsupported	none	none	abs
a64:encoding:abs-z-p-z-z:de360afb888ef2aa	encoding	a64:instruction_form:abs-z-p-z-z:de360afb888ef2aa	a64:encoding:abs-z-p-z-z:de360afb888ef2aa	known_unsupported	none	none	abs
a64:encoding:adc-32-addsub-carry:cf73d264b6eeb516	encoding	a64:instruction_form:adc-32-addsub-carry:cf73d264b6eeb516	a64:encoding:adc-32-addsub-carry:cf73d264b6eeb516	known_unsupported	none	none	adc
a64:encoding:adc-64-addsub-carry:39307f5e2b0b7f24	encoding	a64:instruction_form:adc-64-addsub-carry:39307f5e2b0b7f24	a64:encoding:adc-64-addsub-carry:39307f5e2b0b7f24	known_unsupported	none	none	adc
a64:encoding:adclb-z-zzz:f12ca48daee9ecc9	encoding	a64:instruction_form:adclb-z-zzz:f12ca48daee9ecc9	a64:encoding:adclb-z-zzz:f12ca48daee9ecc9	known_unsupported	none	none	adclb
a64:encoding:adclt-z-zzz:526a8c3dd94346c8	encoding	a64:instruction_form:adclt-z-zzz:526a8c3dd94346c8	a64:encoding:adclt-z-zzz:526a8c3dd94346c8	known_unsupported	none	none	adclt
a64:encoding:adcs-32-addsub-carry:a0506483840e3065	encoding	a64:instruction_form:adcs-32-addsub-carry:a0506483840e3065	a64:encoding:adcs-32-addsub-carry:a0506483840e3065	known_unsupported	none	none	adcs
a64:encoding:adcs-64-addsub-carry:a0d52c6c82d1ca30	encoding	a64:instruction_form:adcs-64-addsub-carry:a0d52c6c82d1ca30	a64:encoding:adcs-64-addsub-carry:a0d52c6c82d1ca30	known_unsupported	none	none	adcs
a64:encoding:add-32-addsub-ext:974e5ba647186d52	encoding	a64:instruction_form:add-32-addsub-ext:974e5ba647186d52	a64:encoding:add-32-addsub-ext:974e5ba647186d52	known_unsupported	none	none	add
a64:encoding:add-32-addsub-imm:3ab0bb991b202807	encoding	a64:instruction_form:add-32-addsub-imm:3ab0bb991b202807	a64:encoding:add-32-addsub-imm:3ab0bb991b202807	active	ordinary_lowering|architecture_operation	wyst.a64.architecture-operations|wyst.a64.ordinary-lowering	add
a64:encoding:add-32-addsub-shift:40aabbcac383e4f5	encoding	a64:instruction_form:add-32-addsub-shift:40aabbcac383e4f5	a64:encoding:add-32-addsub-shift:40aabbcac383e4f5	active	ordinary_lowering|architecture_operation	wyst.a64.architecture-operations|wyst.a64.ordinary-lowering	add
a64:encoding:add-64-addsub-ext:ecd63b0cbf282168	encoding	a64:instruction_form:add-64-addsub-ext:ecd63b0cbf282168	a64:encoding:add-64-addsub-ext:ecd63b0cbf282168	known_unsupported	none	none	add
a64:encoding:add-64-addsub-imm:f9088474ba5a7702	encoding	a64:instruction_form:add-64-addsub-imm:f9088474ba5a7702	a64:encoding:add-64-addsub-imm:f9088474ba5a7702	active	ordinary_lowering|checked_asm|architecture_operation	wyst.a64.architecture-operations|wyst.a64.ordinary-lowering|wyst.a64.target-structural-asm.aarch64	add
a64:encoding:add-64-addsub-shift:6f409def0d1e43f6	encoding	a64:instruction_form:add-64-addsub-shift:6f409def0d1e43f6	a64:encoding:add-64-addsub-shift:6f409def0d1e43f6	active	ordinary_lowering|architecture_operation	wyst.a64.architecture-operations|wyst.a64.ordinary-lowering	add
a64:encoding:add-asimdsame-only:1a2c005b014d566c	encoding	a64:instruction_form:add-asimdsame-only:1a2c005b014d566c	a64:encoding:add-asimdsame-only:1a2c005b014d566c	active	ordinary_lowering|architecture_operation	wyst.a64.architecture-operations|wyst.a64.ordinary-lowering	add
a64:encoding:add-asisdsame-only:ed54279c5db5d0b8	encoding	a64:instruction_form:add-asisdsame-only:ed54279c5db5d0b8	a64:encoding:add-asisdsame-only:ed54279c5db5d0b8	known_unsupported	none	none	add
a64:encoding:add-mz-zzv-2x1:c14abd28ebf7442e	encoding	a64:instruction_form:add-mz-zzv-2x1:c14abd28ebf7442e	a64:encoding:add-mz-zzv-2x1:c14abd28ebf7442e	known_unsupported	none	none	add
a64:encoding:add-mz-zzv-4x1:7828be4462dff892	encoding	a64:instruction_form:add-mz-zzv-4x1:7828be4462dff892	a64:encoding:add-mz-zzv-4x1:7828be4462dff892	known_unsupported	none	none	add
a64:encoding:add-z-p-zz:759dab559c857cd8	encoding	a64:instruction_form:add-z-p-zz:759dab559c857cd8	a64:encoding:add-z-p-zz:759dab559c857cd8	known_unsupported	none	none	add
a64:encoding:add-z-zi:a4d2f2200ba6a1f6	encoding	a64:instruction_form:add-z-zi:a4d2f2200ba6a1f6	a64:encoding:add-z-zi:a4d2f2200ba6a1f6	known_unsupported	none	none	add
a64:encoding:add-z-zz:0efba005202d34ad	encoding	a64:instruction_form:add-z-zz:0efba005202d34ad	a64:encoding:add-z-zz:0efba005202d34ad	known_unsupported	none	none	add
a64:encoding:add-za-zw-2x2:dcdf527a0f920d9d	encoding	a64:instruction_form:add-za-zw-2x2:dcdf527a0f920d9d	a64:encoding:add-za-zw-2x2:dcdf527a0f920d9d	known_unsupported	none	none	add
