code	name	operation	place_rule	field_program	range_min	range_max	place_alignment	target_alignment	target_classes	overflow	relaxation	diagnostic
0	R_AARCH64_NONE	none	dependency	none	none	none	1	1	any	retain_edge	none	E0803
256	R_AARCH64_WITHDRAWN_256	none	dependency	none	none	none	1	1	any	retain_edge	none	E0803
257	R_AARCH64_ABS64	s+a	data64	data@0+64=0	none	none	1	1	alloc_or_abs	truncate	none	E0803
258	R_AARCH64_ABS32	s+a	data32	data@0+32=0	-2147483648	4294967295	1	1	alloc_or_abs	checked	none	E0803
259	R_AARCH64_ABS16	s+a	data16	data@0+16=0	-32768	65535	1	1	alloc_or_abs	checked	none	E0803
260	R_AARCH64_PREL64	s+a-p	data64	data@0+64=0	none	none	1	1	section_or_alloc	truncate	none	E0803
261	R_AARCH64_PREL32	s+a-p	data32	data@0+32=0	-2147483648	2147483647	1	1	section_or_alloc	checked	none	E0803
262	R_AARCH64_PREL16	s+a-p	data16	data@0+16=0	-32768	32767	1	1	section_or_alloc	checked	none	E0803
263	R_AARCH64_MOVW_UABS_G0	s+a	movw_checked_g0	imm16@5+16=0	0	65535	4	1	alloc_or_abs	checked	none	E0803
264	R_AARCH64_MOVW_UABS_G0_NC	s+a	movw_keep_g0	imm16@5+16=0	none	none	4	1	alloc_or_abs	truncate	none	E0803
265	R_AARCH64_MOVW_UABS_G1	s+a	movw_checked_g1	imm16@5+16=16	0	4294967295	4	1	alloc_or_abs	checked	none	E0803
266	R_AARCH64_MOVW_UABS_G1_NC	s+a	movw_keep_g1	imm16@5+16=16	none	none	4	1	alloc_or_abs	truncate	none	E0803
267	R_AARCH64_MOVW_UABS_G2	s+a	movw_checked_g2	imm16@5+16=32	0	281474976710655	4	1	alloc_or_abs	checked	none	E0803
268	R_AARCH64_MOVW_UABS_G2_NC	s+a	movw_keep_g2	imm16@5+16=32	none	none	4	1	alloc_or_abs	truncate	none	E0803
269	R_AARCH64_MOVW_UABS_G3	s+a	movw_checked_g3	imm16@5+16=48	none	none	4	1	alloc_or_abs	truncate	none	E0803
270	R_AARCH64_MOVW_SABS_G0	s+a	movw_signed_g0	imm16@5+16=0	-65536	65535	4	1	alloc_or_abs	checked	none	E0803
271	R_AARCH64_MOVW_SABS_G1	s+a	movw_signed_g1	imm16@5+16=16	-4294967296	4294967295	4	1	alloc_or_abs	checked	none	E0803
272	R_AARCH64_MOVW_SABS_G2	s+a	movw_signed_g2	imm16@5+16=32	-281474976710656	281474976710655	4	1	alloc_or_abs	checked	none	E0803
273	R_AARCH64_LD_PREL_LO19	s+a-p	load_literal	imm19@5+19=2	-1048576	1048575	4	4	section_or_alloc	checked	none	E0803
274	R_AARCH64_ADR_PREL_LO21	s+a-p	adr	immlo@29+2=0,immhi@5+19=2	-1048576	1048575	4	1	section_or_alloc	checked	none	E0803
275	R_AARCH64_ADR_PREL_PG_HI21	page(s+a)-page(p)	adrp	immlo@29+2=12,immhi@5+19=14	-4294967296	4294967295	4	1	section_or_alloc	checked	none	E0803
276	R_AARCH64_ADR_PREL_PG_HI21_NC	page(s+a)-page(p)	adrp	immlo@29+2=12,immhi@5+19=14	none	none	4	1	section_or_alloc	truncate	none	E0803
277	R_AARCH64_ADD_ABS_LO12_NC	s+a	add_immediate	imm12@10+12=0	none	none	4	1	alloc_or_abs	truncate	none	E0803
278	R_AARCH64_LDST8_ABS_LO12_NC	s+a	ldst_unsigned_1	imm12@10+12=0	none	none	4	1	alloc_or_abs	truncate	none	E0803
279	R_AARCH64_TSTBR14	s+a-p	test_branch	imm14@5+14=2	-32768	32767	4	4	code	checked	none	E0803
280	R_AARCH64_CONDBR19	s+a-p	conditional_branch	imm19@5+19=2	-1048576	1048575	4	4	code	checked	none	E0803
282	R_AARCH64_JUMP26	s+a-p	jump26	imm26@0+26=2	-134217728	134217727	4	4	code	checked	authenticated_wyst	E0803
283	R_AARCH64_CALL26	s+a-p	call26	imm26@0+26=2	-134217728	134217727	4	4	function	checked	authenticated_wyst	E0803
284	R_AARCH64_LDST16_ABS_LO12_NC	s+a	ldst_unsigned_2	imm12@10+12=1	none	none	4	2	alloc_or_abs	truncate	none	E0803
285	R_AARCH64_LDST32_ABS_LO12_NC	s+a	ldst_unsigned_4	imm12@10+12=2	none	none	4	4	alloc_or_abs	truncate	none	E0803
286	R_AARCH64_LDST64_ABS_LO12_NC	s+a	ldst_unsigned_8	imm12@10+12=3	none	none	4	8	alloc_or_abs	truncate	none	E0803
287	R_AARCH64_MOVW_PREL_G0	s+a-p	movw_signed_g0	imm16@5+16=0	-65536	65535	4	1	section_or_alloc	checked	none	E0803
288	R_AARCH64_MOVW_PREL_G0_NC	s+a-p	movw_keep_g0	imm16@5+16=0	none	none	4	1	section_or_alloc	truncate	none	E0803
