// owner-type	member	result-type	value	class	evaluation	state
u8	MIN	u8	0	integer-bound	compile-time	implemented
u8	MAX	u8	255	integer-bound	compile-time	implemented
u16	MIN	u16	0	integer-bound	compile-time	implemented
u16	MAX	u16	65535	integer-bound	compile-time	implemented
u32	MIN	u32	0	integer-bound	compile-time	implemented
u32	MAX	u32	4294967295	integer-bound	compile-time	implemented
u64	MIN	u64	0	integer-bound	compile-time	implemented
u64	MAX	u64	18446744073709551615	integer-bound	compile-time	implemented
i8	MIN	i8	-128	integer-bound	compile-time	implemented
i8	MAX	i8	127	integer-bound	compile-time	implemented
i16	MIN	i16	-32768	integer-bound	compile-time	implemented
i16	MAX	i16	32767	integer-bound	compile-time	implemented
i32	MIN	i32	-2147483648	integer-bound	compile-time	implemented
i32	MAX	i32	2147483647	integer-bound	compile-time	implemented
i64	MIN	i64	-9223372036854775808	integer-bound	compile-time	implemented
i64	MAX	i64	9223372036854775807	integer-bound	compile-time	implemented
