// identity	declaration_kind	authority	initialization	extent_alignment	lifetime_ownership	generation	terminal_protocol	catalog_contract
core.storage	namespace	sealed-ordinary-wyst	closed-transition-surface	exact-caller-backing	explicit-affine-authority	explicit-generation	all-authorities-accounted	-
core.storage.StorageUse	ordinary-enum	policy-value	na:not-storage	na:not-storage	copyable-value	na:not-generational	none	wyst.storage.use
core.storage.InitializationEvidence	ordinary-enum	evidence-value	closed-evidence	na:not-storage	copyable-value	na:not-generational	none	wyst.storage.initialization-evidence
core.storage.StorageIdentity	opaque-struct	identity-token	na:not-storage	exact-address-derived	copyable-value	na:not-generational	none	wyst.storage.identity
core.storage.DirectReserveFailure	ordinary-enum	failure-reason	na:not-storage	range-or-alignment	copyable-value	na:not-generational	none	wyst.storage.direct-reserve-failure
core.storage.FixedBufferAttachFailure	ordinary-enum	failure-reason	na:not-storage	extent	copyable-value	na:not-generational	none	wyst.storage.fixed-buffer-attach-failure
core.storage.InitializationFailure	ordinary-enum	failure-reason	initialization-state	length-or-alignment	copyable-value	identity-generation-sequence	none	wyst.storage.initialization-failure
core.storage.FixedBuffer	opaque-must-account	exclusive-backing-owner	caller-initialized-bytes	exact-backing	provider-loan	carried	reclassify|close|arena-transfer	wyst.storage.fixed-buffer
core.storage.DestinationReservation	opaque-must-account	destination-transaction	raw-destination	checked-subrange	exclusive-fixed-buffer-loan	carried	initialize|explicit-abandon	wyst.storage.destination-reservation
core.storage.InitializedDestination	opaque-must-account	initialized-transaction	proved-or-asserted	exact-reservation	exclusive-fixed-buffer-loan	carried	finish|explicit-abandon	wyst.storage.initialized-destination
core.storage.WrittenRegion	opaque-must-account	written-region-owner	proved-or-asserted	exact-reservation	fixed-buffer-region-loan	carried	view|close	wyst.storage.written-region
core.storage.DestinationInitializationRejected	ordinary-struct	authority-recovery	raw-destination	exact-reservation	returns-reservation	carried	recover-reservation	wyst.storage.destination-initialization-rejected
core.storage.storage_identity_bits	ordinary-function	projection	unchanged	na:not-storage	read-only	na:not-generational	none	wyst.storage.projection
core.storage.fixed_buffer_capacity	ordinary-function	projection	unchanged	exact-capacity	read-only	carried	none	wyst.storage.projection
core.storage.fixed_buffer_identity	ordinary-function	projection	unchanged	exact-identity	read-only	carried	none	wyst.storage.projection
core.storage.fixed_buffer_generation	ordinary-function	projection	unchanged	na:not-storage	read-only	carried	none	wyst.storage.projection
core.storage.fixed_buffer_storage_use	ordinary-function	projection	unchanged	na:not-storage	read-only	carried	none	wyst.storage.projection
core.storage.FixedBuffer.attach	ordinary-function	attach-transition	caller-initialized-bytes	full-extent-checked	borrows-caller-backing	initial	fixed-buffer|typed-failure	wyst.storage.fixed-buffer.attach
core.storage.fixed_buffer_reclassify	ordinary-function	reclassify-transition	unchanged	exact-backing	consumes-and-returns-buffer	preserved	fixed-buffer	wyst.storage.fixed-buffer.reclassify
core.storage.fixed_buffer_close	ordinary-function	close-transition	unchanged	exact-backing	consumes-buffer	preserved	closed	wyst.storage.fixed-buffer.close
core.storage.FixedBuffer.reserve	ordinary-function	reserve-transition	raw-destination	raw-range-and-selected-address-alignment-checked	exclusive-buffer-loan	preserved	reservation|typed-failure	wyst.storage.fixed-buffer.reserve
core.storage.destination_initialize_zero	ordinary-function	initialize-transition	zeroed	exact-reservation	consumes-reservation	preserved	initialized-destination	wyst.storage.destination.zero
core.storage.destination_initialize_from	ordinary-function	initialize-transition	copied	exact-length	consumes-or-recovers-reservation	preserved	initialized|recover	wyst.storage.destination.copy
core.storage.destination_assume_initialized	ordinary-function	trusted-initialize-transition	programmer-asserted	exact-reservation	consumes-reservation	preserved	initialized-destination	wyst.storage.destination.assume
core.storage.DestinationReservation.initialize_value	ordinary-generic-function	initialize-transition	typed-value	exact-size-and-alignment	consumes-or-recovers-reservation	preserved	initialized|recover	wyst.storage.destination.typed-value
core.storage.InitializedDestination.finish	ordinary-function	commit-transition	preserved-evidence	exact-reservation	consumes-initialized	preserved	written-region	wyst.storage.destination.finish
core.storage.WrittenRegion.view	ordinary-function	view-transition	initialized-only	exact-region	borrowed-from-region	preserved	view	wyst.storage.written.view
core.storage.written_region_close	ordinary-function	close-transition	unchanged	exact-region	consumes-region	preserved	closed	wyst.storage.written.close
core.storage.ResetSanitization	ordinary-enum	policy-value	reset-sanitation	na:not-storage	copyable-value	na:not-generational	none	wyst.storage.reset-sanitization
core.storage.ArenaIncarnation	opaque-must-account	attachment-incarnation	provider-asserted-fresh	na:not-storage	affine-provider-token	non-repeating	exactly-one-arena-attach	wyst.storage.arena-incarnation
core.storage.ArenaFacts	ordinary-struct	authenticated-snapshot	explicit-state	exact-byte-counts	copyable-value	carried	none	wyst.storage.arena-facts
core.storage.ArenaFailure	ordinary-enum	failure-reason	atomic-transition-state	extent-or-capacity	copyable-value	identity-generation-sequence	none	wyst.storage.arena-failure
core.storage.Arena	opaque-must-account	exclusive-arena-owner	initialized-regions-only	exact-backing-ledger	owns-fixed-buffer	current	detach|abandon-storage	wyst.storage.arena
core.storage.ArenaRegion	opaque-generic-struct	typed-validation-token	initialized	exact-recorded-range	arena-owned-region	validated	revalidate-only	wyst.storage.arena-region
core.storage.ArenaByteRegion	opaque-struct	byte-validation-token	initialized	exact-recorded-range	arena-owned-region	validated	revalidate-only	wyst.storage.arena-byte-region
core.storage.Checkpoint	opaque-must-account	checkpoint-authority	unchanged	exact-ledger-snapshot	arena-checkpoint-loan	validated	keep|rewind	wyst.storage.checkpoint
core.storage.CheckpointRejected	ordinary-struct	authority-recovery	unchanged	exact-ledger-snapshot	returns-checkpoint	validated	recover-checkpoint	wyst.storage.checkpoint-rejected
core.storage.ArenaDetachRejected	ordinary-struct	authority-recovery	unchanged	exact-backing	returns-arena	current	recover-arena	wyst.storage.arena-detach-rejected
core.storage.arena_facts	ordinary-function	projection	reported	exact-accounting	read-only	current	none	wyst.storage.arena.facts
core.storage.arena_incarnation_assert_fresh	ordinary-function	trusted-incarnation-assertion	provider-asserted-fresh	na:not-storage	returns-affine-token	non-repeating	arena-attach	wyst.storage.arena-incarnation.assert-fresh
core.storage.Arena.attach	ordinary-function	attach-transition	unchanged	exact-backing	consumes-fixed-buffer-and-incarnation	provider-selected	arena	wyst.storage.arena.attach
