tag	record	canonical_key	required_fields	field_shapes	purpose
1	module	module_identity	name|source_identity|imports	text|opt(ref(source_location))|seq(ref(import))	Owns one independently compiled semantic namespace and its canonical import edges.
2	target_requirements	target_requirement_identity	architecture|endianness|abi|features|minimum_el|environment|layout|per_cpu	text|text|text|seq(text)|u64|text|opt(ref(layout))|semantic_map	Carries hard requirements whose compatible union must be satisfied by the final target.
3	type	canonical_type_identity	kind|layout|abi	text|semantic_map|semantic_map	Carries nominal identity, complete layout, and ABI classification without backend spellings.
4	declaration	canonical_declaration_identity	module|name|kind|visibility|type|semantics	ref(module)|text|text|visibility|ref(type)|semantic_map	Carries source-visible declaration identity, private ownership, and the canonical declaration facts not owned by a specialized record.
5	import	canonical_declaration_identity	module|type|link_name|binding	ref(module)|ref(type)|opt(text)|semantic_map	Carries an exact Wyst import or an explicit extern-C assertion, including target, alias, selections, and re-export visibility.
6	export	link_name	declaration|binding|visibility	ref_one_of(declaration,generic_definition)|text|text	Carries explicit strong, weak, or hidden native linkage for an ordinary declaration or one concrete generic definition; pub is excluded.
7	callable_contract	canonical_declaration_identity	calling_convention|parameters|result|effects|registers|ownership|entry_levels|trust|concurrency	text|seq(semantic_map)|semantic_map|seq(text)|semantic_map|semantic_map|seq(u64)|seq(text)|seq(text)	Carries the exact callable, ABI, structural-trust, canonical unordered concurrency/storage guarantees, outcome-qualified returned-payload leases, and authenticated direct-entry execution-level product used by consumers.
8	layout	canonical_layout_identity	regions|sections|entry|symbols|constraints	seq(semantic_map)|seq(semantic_map)|semantic_map|seq(semantic_map)|seq(semantic_map)	Carries typed named-layout facts; final addresses are excluded.
9	effect	canonical_declaration_identity	bounds|inferred|authority	seq(text)|seq(text)|semantic_map	Carries declared and proved effect facts.
10	inline_body	canonical_declaration_identity	body|private_dependencies|requirements	semantic_body|seq(ref(private_dependency))|semantic_map	Carries a mandatory inline semantic body and its closed private dependency set.
11	generic_body	canonical_declaration_identity	parameters|body|private_dependencies|requirements	seq(semantic_map)|semantic_body|seq(ref(private_dependency))|semantic_map	Carries a generic semantic body with typed built-in or static-interface parameter constraints and authenticated operation requirements, without a concrete instantiation.
12	generic_demand	canonical_instantiation_key	declaration|type_arguments|value_arguments|reason|selector	ref_one_of(declaration,import)|seq(ref(type))|seq(semantic_scalar)|text|text	Carries one canonical demand plus the source selector used to authenticate its local declaration or import edge; native-linker instantiation is excluded.
13	generic_definition	canonical_instantiation_key	owner|demand|dependencies|contract	ref(module)|ref(generic_demand)|seq(ref_one_of(declaration,import,private_dependency,generic_demand))|semantic_map	Carries the deterministic compiler owner and complete comparable contract of one materialized definition, including selected static-interface dependency digests and consumer-owned imported instantiations.
14	private_dependency	canonical_declaration_identity	owner|kind|payload	ref(declaration)|text|semantic_map	Carries a private fact required to consume an inline or generic body without entering source lookup.
15	per_cpu	canonical_declaration_identity	type|size|alignment|initializer|relocations|requirements	ref(type)|u64|u64|semantic_tree|seq(ref(relocation_policy))|semantic_map	Carries one template-relative per-CPU entry; TLS and process addresses are excluded.
16	section	canonical_section_identity	owner|name|kind|alignment|ordering|retention	ref(declaration)|text|text|u64|semantic_map|text	Carries section ownership and ordering without a final address.
17	checked_fixup	canonical_fixup_identity	owner|encoding|target|addend|relocation|no_relaxation	ref(declaration)|text|semantic_tree|i64|ref(relocation_policy)|bool	Carries authenticated single-instruction checked-assembly provenance.
18	relocation_policy	canonical_relocation_identity	owner|standard_relocation|origin|pair|relaxation	ref(declaration)|text|text|opt(text)|text	Carries semantic relocation authority; concrete ELF relocation instances and placement are excluded.
19	resource_contract	canonical_declaration_identity	parameters|returns|leases|terminal_obligations	seq(semantic_map)|semantic_map|seq(semantic_map)|seq(semantic_map)	Carries parameter ownership modes, structural value abilities, terminal-origin authorities, and outcome-qualified returned-payload provenance.
20	protocol	canonical_protocol_identity	offer|operations|effects|states	semantic_map|seq(semantic_map)|seq(text)|seq(semantic_map)	Carries offered interactive protocol facts.
21	interactive_callable	canonical_declaration_identity	protocol|abi|handlers|storage|transitions	ref(protocol)|semantic_map|seq(semantic_map)|semantic_map|seq(semantic_map)	Carries interactive call and handler-entry contracts.
22	suspension	canonical_declaration_identity	direct|effects|provider|transfer	bool|seq(text)|semantic_map|semantic_map	Carries exact direct suspension and provider requirements.
23	resumable_frame	canonical_declaration_identity	identity|size|alignment|state_layout|generation|cancellation|terminal|subframes|typestate	text|u64|u64|semantic_map|semantic_map|semantic_map|seq(semantic_map)|seq(semantic_map)|text	Carries complete resumable-frame facts without a live instance.
24	artifact_root	canonical_root_identity	kind|declaration|reason	text|ref(declaration)|text	Carries explicit entry, export, init, section, vector, verification, or address roots.
25	source_location	canonical_source_identity	path|spans	logical_path|seq(source_span)	Carries normalized diagnostic locations; it never participates in semantic identity.
26	callable_behavior_contract	canonical_declaration_identity	must_observe|requires|ensures|reason_type|proofs	bool|seq(semantic_tree)|seq(semantic_tree)|ref(type)|seq(semantic_map)	Carries typed ordered observable-result, precondition, and postcondition facts without changing callable ABI identity.
27	static_interface	canonical_static_interface_identity	owner|name|visibility|carrier|operations	ref(module)|text|visibility|text|seq(semantic_map)	Carries one nominal compile-time operation set, its compiler-proved carrier ability, complete canonical callable contracts, and their digests; it is not a runtime type.
28	static_implementation	canonical_static_implementation_identity	interface|subject|owner|mappings	text|ref(type)|ref(module)|seq(semantic_map)	Carries the unique subject-owned mapping from a static interface operation to an ordinary declaration, callable-conformance evidence, and compiler-owned hidden bridge.
