spelling	class	legal_positions	parameters	phase	result	target_facts	relocation	behavior	owner	state	tooling_metadata
#addr_of	symbol-query	expression	symbol:linkable-symbol	link-layout	contextual-address	selected-artifact-layout	symbol-address	require-linkable-symbol-and-preserve-relocation	meta.operation	implemented	meta.addr_of
#align_of	layout-query	expression	type:complete-type	type-layout	core.quantities.Alignment	selected-target-layout	none	return-required-alignment-without-evaluating-a-value	meta.operation	implemented	meta.align_of
#cache_line_width	target-query	expression	none	target-selection	u64	selected-cache-line-width-or-current-language-default-64	none	return-the-selected-width-or-the-current-language-default-of-64	meta.operation	implemented	meta.cache_line_width
#dedent	string-transform	expression	text:multiline-string-literal	compile-time	string	none	none	remove-common-leading-indentation-deterministically	meta.operation	implemented	meta.dedent
#else	compile-time-control	paired-branch	paired-with:#if	compile-time	selected-branch-type	none	none	select-only-when-the-paired-if-condition-is-false	meta.operation	implemented	meta.else
#eval	required-evaluation	module-const-initializer	call:direct-zero-argument-function	verified-ir	closed-value	selected-target-semantics	none	execute-an-effects-none-trusts-none-function-and-materialize-its-result-or-fail	meta.operation	implemented	meta.eval
#field_offset	layout-query	expression	type:ordinary-struct|field:declared-field	type-layout	core.quantities.ByteOffset	selected-target-layout	none	return-the-final-ordinary-struct-field-offset	meta.operation	implemented	meta.field_offset
#if	compile-time-control	declaration|expression|statement	condition:constant-bool|then:branch|else:optional-branch	compile-time	selected-branch-type	none	none	typecheck-and-emit-only-the-selected-branch	meta.operation	implemented	meta.if
#index_of	pack-query	expression	argument:active-pack-element	staged-specialization	u64	none	none	return-the-zero-based-pack-index	meta.operation	implemented	meta.index_of
#label_of	pack-query	expression	argument:active-pack-element	staged-specialization	string	none	none	return-the-optional-source-label-or-an-empty-string	meta.operation	implemented	meta.label_of
#len	layout-query	expression	value:fixed-array-storage-path	compile-time	u64	none	none	return-the-fixed-array-length-without-loading-elements	meta.operation	implemented	meta.len
#link_value	symbol-query	expression	symbol:public-u64-layout-symbol	link-layout	u64	selected-artifact-layout	absolute64	materialize-the-final-layout-owned-value-in-static-data	meta.operation	implemented	meta.link_value
#percpu_offset_of	symbol-query	expression	symbol:per-cpu-module-var	link-layout	u64	per-cpu-template-layout	per-cpu-template-offset	require-a-per-cpu-symbol-and-preserve-its-layout-fact	meta.operation	implemented	meta.percpu_offset_of
#pack_label_count	pack-query	expression	pack:staged-value-pack|label:compile-time-string	staged-specialization	u64	none	none	return-the-number-of-pack-elements-with-the-label	meta.operation	implemented	meta.pack_label_count
#pack_len	pack-query	expression	pack:staged-value-pack	staged-specialization	u64	none	none	return-the-number-of-pack-elements	meta.operation	implemented	meta.pack_len
#requires	target-declaration	module-declaration	requirements:target-requirement-list	build-input	void	selected-target-compatibility	none	reject-the-build-when-any-requirement-is-unsatisfied	meta.operation	implemented	meta.requires
#size_of	layout-query	expression	type:complete-type	type-layout	core.quantities.ByteLength	selected-target-layout	none	return-storage-size-without-evaluating-a-value	meta.operation	implemented	meta.size_of
#satisfies	pack-query	expression	type:staged-type|bound:generic-bound	staged-specialization	bool	none	none	return-whether-the-closed-type-satisfies-the-bound	meta.operation	implemented	meta.satisfies
#static_assert	compile-time-control	declaration|statement	condition:constant-bool|message:string-literal	compile-time	void	none	none	fail-deterministically-when-the-condition-is-false	meta.operation	implemented	meta.static_assert
#tag_of	layout-query	expression	variant:enum-variant	compile-time	enum-tag-type	selected-enum-layout	none	return-the-canonical-tag-of-the-named-variant	meta.operation	implemented	meta.tag_of
#target	target-declaration	module-declaration	facts:target-fact-list	build-input	void	selected-target-descriptor	none	constrain-and-publish-the-module-target-contract	meta.operation	implemented	meta.target
#type_name	pack-query	expression	argument:active-pack-element	staged-specialization	string	none	none	return-the-canonical-type-identity	meta.operation	implemented	meta.type_name
#type_of	pack-query	expression	argument:active-pack-element	staged-specialization	type	none	none	return-the-closed-type-of-the-active-pack-element	meta.operation	implemented	meta.type_of
