// kind	identity	member	import_policy	role	generic_arity	storage_contract	operation_contract	bundled_source	surface_digest	state
namespace	core.collections	-	whole|selective|public	-	-	-	-	-	-	implemented
namespace	core.arch	-	selective-private-direct	-	-	-	-	-	-	implemented
namespace	core.environment	-	selective-private-direct	-	-	-	-	-	-	implemented
namespace	core.execution	-	whole-private-direct	-	-	-	-	-	-	implemented
namespace	core.trap	-	whole-private-direct	-	-	-	-	-	-	implemented
namespace	core.outcomes	-	whole|selective|public	-	-	-	-	-	-	implemented
namespace	core.quantities	-	whole|selective|public	-	-	-	-	-	-	implemented
namespace	core.checked	-	whole-private-direct	-	-	-	-	-	-	implemented
namespace	core.storage	-	whole|selective|public	-	-	-	-	-	-	implemented
namespace	core.strconv	-	whole|selective|public	-	-	-	-	-	-	implemented
namespace	core.fmt	-	whole|selective|public	-	-	-	-	-	-	implemented
namespace	core.bytes	-	whole|selective|public	-	-	-	-	-	-	implemented
namespace	core.text	-	whole|selective|public	-	-	-	-	-	-	implemented
namespace	core.scan	-	whole|selective|public	-	-	-	-	-	-	implemented
declaration	core.collections	Option	whole|selective|public	ordinary-generic-enum	1	wyst.option	-	wync/core/collections/option.wyst	v1:64508a8d7348cfa8294ff68e489a6ab5a245554bf8ea8f1de5f08c022c2cc888	implemented
declaration	core.collections	Result	whole|selective|public	ordinary-generic-enum	2	wyst.result	-	wync/core/collections/result.wyst	v1:9831e6faeecb3e2305ceda94651b7112f43e382c709d8eb3715b2f55abb96c8b	implemented
declaration	core.collections	expect_or_trap	whole|selective|public	ordinary-generic-function	2	-	wyst.result.fatal-extraction	wync/core/collections/result.wyst	v1:ab4fcd4238c06faddcb4686a64d66ec510b5a9cbf878123c55fd11524cdf2ba4	implemented
declaration	core.strconv	DigitCase	whole|selective|public	ordinary-enum	0	wyst.strconv.digit-case	-	wync/core/strconv/api.wyst	v1:3f11f8a0c43feb839d6f1222834c78c298b9a671b91fd3a65f25081e996680c3	implemented
declaration	core.strconv	IntegerWriteFailure	whole|selective|public	ordinary-enum	0	wyst.strconv.integer-write-failure	-	wync/core/strconv/integer.wyst	v1:2993396b4dece79c0d2d603859f3c3cb5b7c7f0472fc7ce35881eefe4916c1eb	implemented
declaration	core.strconv	Radix	whole|selective|public	ordinary-enum	0	wyst.strconv.radix	-	wync/core/strconv/api.wyst	v1:3f1c264796e26e47435ee67a0c84cf5802c587840e0e5e51b6f9889261ebb93d	implemented
declaration	core.strconv	integer_required	whole|selective|public	ordinary-generic-function	1	-	wyst.strconv.integer-required	wync/core/strconv/integer.wyst	v1:851323e5ddebf95c8a845c06c578dad1c9f3c3507503e7c4daa6de5e9a74dead	implemented
declaration	core.strconv	integer_max_bytes	whole|selective|public	ordinary-generic-function	1	-	wyst.strconv.integer-max-bytes	wync/core/strconv/integer.wyst	v1:a2880f3642a1edb6a3fb7752562d3b317f356f7f59ea436e88ed224552626ba5	implemented
