identity	namespace	category	member	internal	class	target_plan	result	parameters	compiler_ordering	source_privilege	observation
core.arch.cpu.mask	core.arch	cpu	mask	cpu_mask	architecture	pstate:daif_set	void	classes:daif_class[1..4]:compile_time_distinct	full_two_way_fence	EL1..EL3	discardable
core.arch.cpu.nop	core.arch	cpu	nop	nop	architecture	encoding:a64:encoding:nop-hi-hints:6782157752e131f1	void	none	preserved_source_hint	generated_target	discardable
core.arch.cpu.counter_elapsed	core.arch	cpu	counter_elapsed	counter_elapsed	compiler	compiler:counter_elapsed	TickDuration	before:CounterSample|after:CounterSample	none	language	discardable
core.arch.cpu.read_counter	core.arch	cpu	read_counter	read_counter	architecture	counter:a64-generic-virtual-counter	CounterSample	none	full_two_way_fence|source_scheduling_boundary	generated_target	discardable
core.arch.cpu.read_stack_pointer	core.arch	cpu	read_stack_pointer	read_stack_pointer	architecture	encoding:a64:encoding:add-64-addsub-imm:f9088474ba5a7702	u64	none	full_two_way_fence	generated_target	discardable
core.arch.cpu.sev	core.arch	cpu	sev	sev	architecture	encoding:a64:encoding:sev-hi-hints:6a5d14d59639b441	void	none	none	generated_target	discardable
core.arch.cpu.sevl	core.arch	cpu	sevl	sevl	architecture	encoding:a64:encoding:sevl-hi-hints:a06bda41d5fee1bc	void	none	none	generated_target	discardable
core.arch.cpu.unmask	core.arch	cpu	unmask	cpu_unmask	architecture	pstate:daif_clr	void	classes:daif_class[1..4]:compile_time_distinct	full_two_way_fence	EL1..EL3	discardable
core.arch.cpu.wfe	core.arch	cpu	wfe	wfe	architecture	encoding:a64:encoding:wfe-hi-hints:c35586e48025c4dc	void	none	none	generated_target	discardable
core.arch.cpu.wfi	core.arch	cpu	wfi	wfi	architecture	encoding:a64:encoding:wfi-hi-hints:6aa519ac5a938656	void	none	none	generated_target	discardable
core.arch.cpu.yield	core.arch	cpu	yield	yield	architecture	encoding:a64:encoding:yield-hi-hints:423190ce3fb3a78a	void	none	preserved_source_hint	generated_target	discardable
core.arch.barrier.compiler	core.arch	barrier	compiler	compiler_barrier	compiler	zero_instruction:compiler_memory_fence	void	none	full_two_way_fence	EL0..EL3	discardable
core.arch.barrier.dmb	core.arch	barrier	dmb	dmb	architecture	encoding:a64:encoding:dmb-bo-barriers:2877e9b833f4b353	void	domain:barrier_domain:compile_time	full_two_way_fence	generated_target	discardable
core.arch.barrier.dsb	core.arch	barrier	dsb	dsb	architecture	encoding:a64:encoding:dsb-bo-barriers:b265a39edcb37974	void	domain:barrier_domain:compile_time	full_two_way_fence	generated_target	discardable
core.arch.barrier.isb	core.arch	barrier	isb	isb	architecture	encoding:a64:encoding:isb-bi-barriers:4a5d09041cb0d0ce	void	none	full_two_way_fence	generated_target	discardable
core.arch.cache.data.clean_invalidate_to_poc	core.arch	cache	data.clean_invalidate_to_poc	dc_civac	architecture	system:dc_civac	void	addr:cache_normal_address	full_two_way_fence	generated_target	discardable
core.arch.cache.data.clean_to_poc	core.arch	cache	data.clean_to_poc	dc_cvac	architecture	system:dc_cvac	void	addr:cache_normal_address	full_two_way_fence	generated_target	discardable
core.arch.cache.data.clean_to_pou	core.arch	cache	data.clean_to_pou	dc_cvau	architecture	system:dc_cvau	void	addr:cache_normal_address	full_two_way_fence	generated_target	discardable
core.arch.cache.data.invalidate_to_poc	core.arch	cache	data.invalidate_to_poc	dc_ivac	architecture	system:dc_ivac	void	addr:cache_normal_address	full_two_way_fence	generated_target	discardable
core.arch.cache.data.zero_block	core.arch	cache	data.zero_block	dc_zva	architecture	system:dc_zva	void	addr:ordinary_writable_cacheable_normal	full_two_way_fence	generated_target	discardable
core.arch.cache.data.zero_block_size	core.arch	cache	data.zero_block_size	dczid_block_size	architecture	sequence:a64:encoding:mrs-rs-systemmove:fdea91bb8b1da9f3@selector=sysreg_read:DCZID_EL0;fields=o0:1,op1:3,CRn:0,CRm:0,op2:7,Rt:9|a64:encoding:ubfm-64m-bitfield:0791ecfc09182cba@fields=immr:0,imms:3,Rn:9,Rd:10|a64:encoding:movz-64-movewide:d0a91a38c45d2188@fields=hw:0,imm16:4,Rd:11|a64:encoding:lslv-64-dp-2src:fa21508dbd3745a4@fields=Rm:10,Rn:11,Rd:10|a64:encoding:ubfm-64m-bitfield:0791ecfc09182cba@fields=immr:4,imms:4,Rn:9,Rd:9|a64:encoding:subs-64-addsub-shift:1c0e1ab9a628d873@fields=shift:0,Rm:31,imm6:0,Rn:9,Rd:31|a64:encoding:csel-64-condsel:b6e6eb2901948d15@fields=Rm:10,cond:1,Rn:31,Rd:9	u64	none	full_two_way_fence	generated_target	discardable
core.arch.cache.instruction.invalidate_all	core.arch	cache	instruction.invalidate_all	ic_invalidate_all	architecture	system_selector:ic_iallu|ic_ialluis	void	scope:cache_invalidate_scope:compile_time	full_two_way_fence	generated_target	discardable
core.arch.cache.instruction.invalidate_to_pou	core.arch	cache	instruction.invalidate_to_pou	ic_ivau	architecture	system:ic_ivau	void	addr:instruction_visibility_address	full_two_way_fence	generated_target	discardable
core.arch.cache.prefetch	core.arch	cache	prefetch	prefetch	architecture	encoding:a64:encoding:prfm-p-ldst-pos:068dc055d7cb93fe	void	addr:non_mmio_address|access:prefetch_access:compile_time|locality:prefetch_locality:compile_time	reorderable_preserved_hint	generated_target	discardable
core.arch.exception.brk	core.arch	exception	brk	brk	architecture	encoding:a64:encoding:brk-ex-exception:7046fa1ce7c640b8	void	immediate:u16:compile_time	full_compiler_abi_boundary	EL0..EL3	discardable
core.arch.exception.eret	core.arch	exception	eret	eret	architecture	encoding:a64:encoding:eret-64e-branch-reg:43e53b44e570f013	never	none	terminal	EL1..EL3	discardable
core.arch.exception.hlt	core.arch	exception	hlt	hlt	architecture	encoding:a64:encoding:hlt-ex-exception:c1e067d4a0304a0c	void	immediate:u16:compile_time	full_compiler_abi_boundary	EL0..EL3	discardable
core.arch.exception.hvc	core.arch	exception	hvc	hvc	architecture	encoding:a64:encoding:hvc-ex-exception:9f10adcfe451b48d	void	immediate:u16:compile_time	full_compiler_abi_boundary	EL1..EL2	discardable
core.arch.exception.smc	core.arch	exception	smc	smc	architecture	encoding:a64:encoding:smc-ex-exception:99e5d1d7296ea83b	void	immediate:u16:compile_time	full_compiler_abi_boundary	EL1..EL3	discardable
core.arch.exception.svc	core.arch	exception	svc	svc	architecture	encoding:a64:encoding:svc-ex-exception:58ce0b8bce0eb32b	void	immediate:u16:compile_time	full_compiler_abi_boundary	EL0..EL2	discardable
core.arch.memory.load_pair_non_temporal	core.arch	memory	load_pair_non_temporal	ldnp	architecture	encoding_selector:a64:encoding:ldnp-32-ldstnapair-offs:e78b8efe94cbe957|a64:encoding:ldnp-64-ldstnapair-offs:b7ec3b6c0f47646b|a64:encoding:ldnp-s-ldstnapair-offs:2398a394ed8c78a2|a64:encoding:ldnp-d-ldstnapair-offs:2d6e061eea678c95	pair<T>	addr:ordinary_pair_address<T>	none	generated_target	discardable
core.arch.memory.store_pair_non_temporal	core.arch	memory	store_pair_non_temporal	stnp	architecture	encoding_selector:a64:encoding:stnp-32-ldstnapair-offs:709342e680d7a2f0|a64:encoding:stnp-64-ldstnapair-offs:4c175920606e48e9|a64:encoding:stnp-s-ldstnapair-offs:4abdedad0ecdd5d5|a64:encoding:stnp-d-ldstnapair-offs:7cd46b17f7052d51	void	addr:ordinary_pair_address<T>|first:T|second:T	none	generated_target	discardable
core.arch.tlb.alle1	core.arch	tlb	alle1	tlbi_alle1	architecture	system:tlbi_alle1	void	none	full_two_way_fence	generated_target	discardable
core.arch.tlb.alle1is	core.arch	tlb	alle1is	tlbi_alle1is	architecture	system:tlbi_alle1is	void	none	full_two_way_fence	generated_target	discardable
core.arch.tlb.alle2	core.arch	tlb	alle2	tlbi_alle2	architecture	system:tlbi_alle2	void	none	full_two_way_fence	generated_target	discardable
core.arch.tlb.alle2is	core.arch	tlb	alle2is	tlbi_alle2is	architecture	system:tlbi_alle2is	void	none	full_two_way_fence	generated_target	discardable
core.arch.tlb.alle3	core.arch	tlb	alle3	tlbi_alle3	architecture	system:tlbi_alle3	void	none	full_two_way_fence	generated_target	discardable
core.arch.tlb.alle3is	core.arch	tlb	alle3is	tlbi_alle3is	architecture	system:tlbi_alle3is	void	none	full_two_way_fence	generated_target	discardable
core.arch.tlb.aside1	core.arch	tlb	aside1	tlbi_aside1	architecture	sequence:a64:encoding:ubfm-64m-bitfield:0791ecfc09182cba@fields=immr:16,imms:15,Rn:9,Rd:9|system_operation=tlbi_aside1@fields=Rt:9	void	asid:u16	full_two_way_fence	generated_target	discardable
core.arch.tlb.aside1is	core.arch	tlb	aside1is	tlbi_aside1is	architecture	sequence:a64:encoding:ubfm-64m-bitfield:0791ecfc09182cba@fields=immr:16,imms:15,Rn:9,Rd:9|system_operation=tlbi_aside1is@fields=Rt:9	void	asid:u16	full_two_way_fence	generated_target	discardable
core.arch.tlb.ipas2e1	core.arch	tlb	ipas2e1	tlbi_ipas2e1	architecture	system:tlbi_ipas2e1	void	operand:u64	full_two_way_fence	generated_target	discardable
core.arch.tlb.ipas2e1is	core.arch	tlb	ipas2e1is	tlbi_ipas2e1is	architecture	system:tlbi_ipas2e1is	void	operand:u64	full_two_way_fence	generated_target	discardable
core.arch.tlb.ipas2le1	core.arch	tlb	ipas2le1	tlbi_ipas2le1	architecture	system:tlbi_ipas2le1	void	operand:u64	full_two_way_fence	generated_target	discardable
core.arch.tlb.ipas2le1is	core.arch	tlb	ipas2le1is	tlbi_ipas2le1is	architecture	system:tlbi_ipas2le1is	void	operand:u64	full_two_way_fence	generated_target	discardable
core.arch.tlb.vaae1	core.arch	tlb	vaae1	tlbi_vaae1	architecture	system:tlbi_vaae1	void	operand:u64	full_two_way_fence	generated_target	discardable
core.arch.tlb.vaae1is	core.arch	tlb	vaae1is	tlbi_vaae1is	architecture	system:tlbi_vaae1is	void	operand:u64	full_two_way_fence	generated_target	discardable
core.arch.tlb.vae1	core.arch	tlb	vae1	tlbi_vae1	architecture	system:tlbi_vae1	void	operand:u64	full_two_way_fence	generated_target	discardable
core.arch.tlb.vae1is	core.arch	tlb	vae1is	tlbi_vae1is	architecture	system:tlbi_vae1is	void	operand:u64	full_two_way_fence	generated_target	discardable
core.arch.tlb.vae2	core.arch	tlb	vae2	tlbi_vae2	architecture	system:tlbi_vae2	void	operand:u64	full_two_way_fence	generated_target	discardable
core.arch.tlb.vae2is	core.arch	tlb	vae2is	tlbi_vae2is	architecture	system:tlbi_vae2is	void	operand:u64	full_two_way_fence	generated_target	discardable
core.arch.tlb.vae3	core.arch	tlb	vae3	tlbi_vae3	architecture	system:tlbi_vae3	void	operand:u64	full_two_way_fence	generated_target	discardable
core.arch.tlb.vae3is	core.arch	tlb	vae3is	tlbi_vae3is	architecture	system:tlbi_vae3is	void	operand:u64	full_two_way_fence	generated_target	discardable
core.arch.tlb.vale1	core.arch	tlb	vale1	tlbi_vale1	architecture	system:tlbi_vale1	void	operand:u64	full_two_way_fence	generated_target	discardable
core.arch.tlb.vale1is	core.arch	tlb	vale1is	tlbi_vale1is	architecture	system:tlbi_vale1is	void	operand:u64	full_two_way_fence	generated_target	discardable
core.arch.tlb.vale2	core.arch	tlb	vale2	tlbi_vale2	architecture	system:tlbi_vale2	void	operand:u64	full_two_way_fence	generated_target	discardable
core.arch.tlb.vale2is	core.arch	tlb	vale2is	tlbi_vale2is	architecture	system:tlbi_vale2is	void	operand:u64	full_two_way_fence	generated_target	discardable
core.arch.tlb.vale3	core.arch	tlb	vale3	tlbi_vale3	architecture	system:tlbi_vale3	void	operand:u64	full_two_way_fence	generated_target	discardable
core.arch.tlb.vale3is	core.arch	tlb	vale3is	tlbi_vale3is	architecture	system:tlbi_vale3is	void	operand:u64	full_two_way_fence	generated_target	discardable
core.arch.tlb.vmalle1	core.arch	tlb	vmalle1	tlbi_vmalle1	architecture	system:tlbi_vmalle1	void	none	full_two_way_fence	generated_target	discardable
core.arch.tlb.vmalle1is	core.arch	tlb	vmalle1is	tlbi_vmalle1is	architecture	system:tlbi_vmalle1is	void	none	full_two_way_fence	generated_target	discardable
core.arch.tlb.vmalls12e1	core.arch	tlb	vmalls12e1	tlbi_vmalls12e1	architecture	system:tlbi_vmalls12e1	void	none	full_two_way_fence	generated_target	discardable
core.arch.tlb.vmalls12e1is	core.arch	tlb	vmalls12e1is	tlbi_vmalls12e1is	architecture	system:tlbi_vmalls12e1is	void	none	full_two_way_fence	generated_target	discardable
core.environment.semihost.call	core.environment	semihost	call	semihost_call	environment	environment_abi:a64-semihost-hlt-f000	u64	operation:u64|parameter:u64	full_compiler_abi_boundary	environment_descriptor	discardable
core.execution.suspension_point	core.execution	-	suspension_point	execution_suspension_point	compiler	zero_instruction:strand_suspension_boundary	void	none	strand_suspension_boundary	provider_descriptor	discardable
core.trap.fatal	core.trap	-	fatal	fatal_trap	language	encoding:a64:encoding:brk-ex-exception:7046fa1ce7c640b8	never	reason:u16	terminal	language	discardable
core.checked.index	core.checked	-	index	checked_index	language	compiler:checked_index	Result<ElementIndex,IndexFailure>	index:ElementIndex|length:ElementLength	none	language	must_observe
core.checked.range	core.checked	-	range	checked_range	language	compiler:checked_range	Result<ElementRange,RangeFailure>	start:ElementBoundary|end:ElementBoundary	none	language	must_observe
core.checked.slice_range	core.checked	-	slice_range	checked_slice	language	compiler:checked_slice	Result<ElementRange,SliceFailure>	start:ElementBoundary|end:ElementBoundary|length:ElementLength	none	language	must_observe
core.checked.numeric	core.checked	-	numeric	checked_numeric	language	compiler:checked_numeric	Result<T,NumericConversionFailure>	value:integer-or-bool	none	language	must_observe
core.checked.byte_offset	core.checked	-	byte_offset	checked_byte_offset	language	compiler:checked_byte_offset	Result<A,AddressOffsetFailure>	base:A|offset:ByteOffset	none	language	must_observe
core.checked.element_offset	core.checked	-	element_offset	checked_element_offset	language	compiler:checked_element_offset	Result<A,ElementAddressOffsetFailure>	base:A|offset:ElementOffset	none	language	must_observe
core.checked.physical_offset	core.checked	-	physical_offset	checked_physical_offset	language	compiler:checked_physical_offset	Result<PhysicalAddress,AddressOverflowFailure>	base:PhysicalAddress|offset:ByteOffset	none	language	must_observe
core.checked.alignment	core.checked	-	alignment	checked_alignment	language	compiler:checked_alignment	Result<Alignment,AlignmentFailure>	bytes:ByteLength	none	language	must_observe
core.checked.align_up	core.checked	-	align_up	checked_align_up	language	compiler:checked_align_up	Result<ByteLength,AlignOverflowFailure>	value:ByteLength|alignment:Alignment	none	language	must_observe
core.checked.address_align_up	core.checked	-	address_align_up	checked_address_align_up	language	compiler:checked_address_align_up	Result<u64,AddressAlignOverflowFailure>	value_bits:u64|alignment:Alignment	none	language	must_observe
core.checked.align_down	core.checked	-	align_down	checked_align_down	language	compiler:checked_align_down	ByteLength	value:ByteLength|alignment:Alignment	none	language	discardable
core.checked.physical_align_up	core.checked	-	physical_align_up	checked_physical_align_up	language	compiler:checked_physical_align_up	Result<PhysicalAddress,PhysicalAlignOverflowFailure>	value:PhysicalAddress|alignment:Alignment	none	language	must_observe
core.checked.physical_align_down	core.checked	-	physical_align_down	checked_physical_align_down	language	compiler:checked_physical_align_down	PhysicalAddress	value:PhysicalAddress|alignment:Alignment	none	language	discardable
core.checked.byte_extent	core.checked	-	byte_extent	checked_byte_extent	language	compiler:checked_byte_extent	Result<ByteExtent<A>,ByteExtentFailure>	base:A|length:ByteLength	none	language	must_observe
core.checked.element_extent	core.checked	-	element_extent	checked_element_extent	language	compiler:checked_element_extent	Result<ElementExtent<A>,ElementExtentFailure>	base:A|length:ElementLength	none	language	must_observe
core.checked.physical_extent	core.checked	-	physical_extent	checked_physical_extent	language	compiler:checked_physical_extent	Result<PhysicalExtent,ByteExtentFailure>	base:PhysicalAddress|length:ByteLength	none	language	must_observe
core.checked.contains_bytes	core.checked	-	contains_bytes	checked_contains_bytes	language	compiler:checked_contains_bytes	Result<ByteRange,ContainmentFailure>	extent:ByteExtent<A>|offset:ByteOffset|access:ByteLength	none	language	must_observe
core.checked.contains_elements	core.checked	-	contains_elements	checked_contains_elements	language	compiler:checked_contains_elements	Result<ElementRange,ElementContainmentFailure>	extent:ElementExtent<A>|offset:ElementOffset|access:ElementLength	none	language	must_observe
core.checked.contains_physical	core.checked	-	contains_physical	checked_contains_physical	language	compiler:checked_contains_physical	Result<ByteRange,ContainmentFailure>	extent:PhysicalExtent|offset:ByteOffset|access:ByteLength	none	language	must_observe
core.checked.field	core.checked	-	field	checked_field	language	compiler:checked_field	Result<T,FieldEncodingFailure>	value:T|width:u8:compile_time	none	language	must_observe
core.checked.generation	core.checked	-	generation	checked_generation	language	compiler:checked_generation	Result<Generation,GenerationMismatch>	expected:Generation|observed:Generation	none	language	must_observe
core.checked.next_generation	core.checked	-	next_generation	checked_next_generation	language	compiler:checked_next_generation	Result<Generation,GenerationExhausted>	current:Generation	none	language	must_observe
core.checked.validated_string	core.checked	-	validated_string	validated_string	language	compiler:validated_string	string	bytes:[]u8	none	language	discardable
core.language.address.load_endian	-	address	load<T>(endian)	address_endian_load	language	owner:address.operation	T	address:@byte|endian:required	memory_event	language	discardable
core.language.address.store_endian	-	address	store<T>(endian)	address_endian_store	language	owner:address.operation	void	address:@byte|value:T|endian:required	memory_event	language	discardable
core.language.addr_of	-	-	addr_of	runtime_addr_of	language	owner:address.operation	@T	local:T	none	language	discardable
core.language.atomic.compare_exchange	-	atomic	compare_exchange	atomic_compare_exchange	language	owner:atomic.operation	(observed:T,exchanged:bool)	expected:T|new:T|order:compare_exchange_order	atomic_order	language	discardable
core.language.atomic.exchange	-	atomic	exchange	atomic_exchange	language	owner:atomic.operation	T	value:T|order:rmw_order	atomic_order	language	discardable
core.language.atomic.fetch_add	-	atomic	fetch_add	atomic_fetch_add	language	owner:atomic.operation	T	value:T|order:rmw_order	atomic_order	language	discardable
